Calculation details: PM PM_2_5 emissions by source category,,,,,,
,,,,,,
Pollutant: PM (PM Fraction: PM_2_5),,,,,,
Scenario: REF_post2014_CLE,,,,,,
Year: 2015,,,,,,
,,,,,,
Region,Sector,Activity,[Unit],activity,impl_ef,emiss
ITAL_WHOL,AGR_ARABLE,NOF,[M ha],8.5,0.188,1.596
ITAL_WHOL,AGR_BEEF,NOF,[M animals],4.495,0.092,0.415
ITAL_WHOL,AGR_COWS,NOF,[M animals],1.924,0.087,0.167
ITAL_WHOL,AGR_PIG,NOF,[M animals],8.777,0.078,0.683
ITAL_WHOL,AGR_POULT,NOF,[M animals],230.577,0.011,2.424
ITAL_WHOL,CONSTRUCT,NOF,[M m2],38.788,0.009,0.349
ITAL_WHOL,CON_COMB,MD,[PJ],0.171,0,0
ITAL_WHOL,DOM,GAS,[PJ],1085.633,0,0.109
ITAL_WHOL,DOM,LPG,[PJ],71.866,0,0.022
ITAL_WHOL,DOM,MD,[PJ],79.55,0.001,0.041
ITAL_WHOL,DOM_FPLACE,FWD,[PJ],202.34,0.374,75.746
ITAL_WHOL,DOM_MB_A,BC1,[PJ],,,
ITAL_WHOL,DOM_MB_A,FWD,[PJ],3.396,0.069,0.233
ITAL_WHOL,DOM_MB_A,HC1,[PJ],,,
ITAL_WHOL,DOM_MB_M,BC1,[PJ],,,
ITAL_WHOL,DOM_MB_M,FWD,[PJ],,,
ITAL_WHOL,DOM_MB_M,HC1,[PJ],,,
ITAL_WHOL,DOM_SHB_A,FWD,[PJ],0.023,0.023,0.001
ITAL_WHOL,DOM_SHB_A,HC1,[PJ],,,
ITAL_WHOL,DOM_SHB_M,FWD,[PJ],0.069,0.31,0.021
ITAL_WHOL,DOM_SHB_M,HC1,[PJ],,,
ITAL_WHOL,DOM_STOVE_H,FWD,[PJ],99.683,0.33,32.868
ITAL_WHOL,DOM_STOVE_H,HC1,[PJ],,,
ITAL_WHOL,IN_BO_CHEM,HF,[PJ],0.193,0.01,0.002
