Calculation details: PM PM_10 emissions by source category,,,,,,
,,,,,,
Pollutant: PM (PM Fraction: PM_10),,,,,,
Scenario: REF_post2014_CLE,,,,,,
Year: 2015,,,,,,
,,,,,,
Region,Sector,Activity,[Unit],activity,impl_ef,emiss
ITAL_WHOL,AGR_ARABLE,NOF,[M ha],8.5,0.845,7.182
ITAL_WHOL,AGR_BEEF,NOF,[M animals],4.495,0.416,1.869
ITAL_WHOL,AGR_COWS,NOF,[M animals],1.924,0.391,0.752
ITAL_WHOL,AGR_PIG,NOF,[M animals],8.777,0.438,3.841
ITAL_WHOL,AGR_POULT,NOF,[M animals],230.577,0.047,10.907
ITAL_WHOL,CONSTRUCT,NOF,[M m2],38.788,0.087,3.375
ITAL_WHOL,CON_COMB,MD,[PJ],0.171,0.001,0
ITAL_WHOL,DOM,GAS,[PJ],1085.633,0,0.109
ITAL_WHOL,DOM,LPG,[PJ],71.866,0,0.022
ITAL_WHOL,DOM,MD,[PJ],79.55,0.001,0.051
ITAL_WHOL,DOM_FPLACE,FWD,[PJ],202.34,0.386,78.189
ITAL_WHOL,DOM_MB_A,BC1,[PJ],,,
ITAL_WHOL,DOM_MB_A,FWD,[PJ],3.396,0.079,0.269
ITAL_WHOL,DOM_MB_A,HC1,[PJ],,,
ITAL_WHOL,DOM_MB_M,BC1,[PJ],,,
ITAL_WHOL,DOM_MB_M,FWD,[PJ],,,
ITAL_WHOL,DOM_MB_M,HC1,[PJ],,,
ITAL_WHOL,DOM_SHB_A,FWD,[PJ],0.023,0.024,0.001
ITAL_WHOL,DOM_SHB_A,HC1,[PJ],,,
ITAL_WHOL,DOM_SHB_M,FWD,[PJ],0.069,0.32,0.022
ITAL_WHOL,DOM_SHB_M,HC1,[PJ],,,
ITAL_WHOL,DOM_STOVE_H,FWD,[PJ],99.683,0.34,33.926
ITAL_WHOL,DOM_STOVE_H,HC1,[PJ],,,
ITAL_WHOL,IN_BO_CHEM,HF,[PJ],0.193,0.015,0.003
ITAL_WHOL,IN_BO_CHEM,LPG,[PJ],,,
ITAL_WHOL,IN_BO_CHEM,OS1,[PJ],0.067,0.009,0.001
ITAL_WHOL,IN_BO_CON,HF,[PJ],2.214,0.015,0.033
ITAL_WHOL,IN_BO_CON,MD,[PJ],0.344,0.001,0
ITAL_WHOL,IN_BO_OTH,HF,[PJ],0.317,0.015,0.005
ITAL_WHOL,IN_BO_OTH,LPG,[PJ],0.174,0,0
ITAL_WHOL,IN_BO_OTH,OS1,[PJ],0.02,0.009,0
ITAL_WHOL,IN_BO_PAP,HF,[PJ],,,
ITAL_WHOL,IN_BO_PAP,OS1,[PJ],0,0.009,0
ITAL_WHOL,IN_OC,DC,[PJ],58.076,0.001,0.042
ITAL_WHOL,IN_OC,GAS,[PJ],194.102,0,0.019
ITAL_WHOL,IN_OC,HF,[PJ],17.137,0.015,0.252
ITAL_WHOL,IN_OC,LPG,[PJ],6.741,0,0.001
ITAL_WHOL,IN_OC,OS1,[PJ],4.556,0.008,0.035
ITAL_WHOL,IN_OC3,HC1,[PJ],21.95,0.007,0.144
ITAL_WHOL,MINE_BC,NOF,[Mt],,,
ITAL_WHOL,MINE_OTH,NOF,[Mt],0.03,0.028,0.001
ITAL_WHOL,MSW_FOOD,NOF,[Mt waste],7.309,0.024,0.175
ITAL_WHOL,MSW_OTH,NOF,[Mt waste],9.6,0.032,0.303
ITAL_WHOL,MSW_PAP,NOF,[Mt waste],7.674,0.01,0.076
ITAL_WHOL,MSW_PLA,NOF,[Mt waste],3.789,0,0
ITAL_WHOL,MSW_TEX,NOF,[Mt waste],0.963,0.021,0.02
ITAL_WHOL,MSW_WOOD,NOF,[Mt waste],0.257,0.069,0.018
ITAL_WHOL,PP_ENG,MD,[PJ],0.658,0.002,0.002
ITAL_WHOL,PP_EX_OTH,HF,[PJ],84.635,0.001,0.097
ITAL_WHOL,PP_MOD,GAS,[PJ],741.743,0,0.074
ITAL_WHOL,PP_NEW,HF,[PJ],,,
ITAL_WHOL,PROD_AGAS,CRU,[PJ],194.736,0,0.088
ITAL_WHOL,PR_CEM,NOF,[Mt],29.418,0.132,3.886
ITAL_WHOL,PR_EARC,NOF,[Mt],19.105,0.129,2.457
ITAL_WHOL,PR_GLASS,NOF,[Mt],5.244,0.242,1.27
ITAL_WHOL,PR_LIME,NOF,[Mt],1.621,0.073,0.118
ITAL_WHOL,PR_OT_NFME,NOF,[Mt],0.324,0.535,0.173
ITAL_WHOL,PR_REF,NOF,[Mt],73.135,0.005,0.341
ITAL_WHOL,PR_SMIND_F,NOF,[M people],61.048,0.016,0.958
ITAL_WHOL,RES_BBQ,NOF,[M people],61.048,0.075,4.579
ITAL_WHOL,RES_CIGAR,NOF,[M people],61.048,0.017,1.007
