Calculation details: NOX  emissions by source category,,,,,,
,,,,,,
Pollutant: NOX,,,,,,
Scenario: REF_post2014_CLE,,,,,,
Year: 2015,,,,,,
,,,,,,
Region,Sector,Activity,[Unit],activity,impl_ef,emiss
ITAL_WHOL,IN_BO_OTH,MD,[PJ],0.376,0.068,0.026
ITAL_WHOL,IN_BO_OTH,OS2,[PJ],0.082,0.075,0.006
ITAL_WHOL,IN_BO_PAP,GAS,[PJ],4.714,0.046,0.214
ITAL_WHOL,IN_BO_PAP,LPG,[PJ],0.013,0.06,0.001
ITAL_WHOL,IN_BO_PAP,OS2,[PJ],,,
ITAL_WHOL,IN_OC,BC1,[PJ],,,
ITAL_WHOL,IN_OC,MD,[PJ],0.186,0.068,0.013
ITAL_WHOL,IN_OC,OS2,[PJ],4.328,0.075,0.326
ITAL_WHOL,PP_ENG,GAS,[PJ],47.569,0.13,6.184
ITAL_WHOL,PP_ENG,HF,[PJ],,,
ITAL_WHOL,PP_EX_L,HC1,[PJ],542.726,0.066,35.82
ITAL_WHOL,PP_EX_OTH,GAS,[PJ],42.495,0.04,1.7
ITAL_WHOL,PP_EX_OTH,OS1,[PJ],49.754,0.13,6.468
ITAL_WHOL,PP_EX_OTH,OS2,[PJ],,,
ITAL_WHOL,PP_EX_S,HC1,[PJ],,,
ITAL_WHOL,PP_NEW,GAS,[PJ],55.819,0.06,3.349
ITAL_WHOL,PP_NEW,OS1,[PJ],20.159,0.065,1.31
ITAL_WHOL,PP_NEW,OS2,[PJ],49.019,0.039,1.912
ITAL_WHOL,PR_BRICK,NOF,[Mt],13.432,0.017,0.223
ITAL_WHOL,PR_NIAC,NOF,[Mt],0.556,0.93,0.517
ITAL_WHOL,PR_OT_NFME,NOF,[Mt],,,
ITAL_WHOL,PR_PIGI,NOF,[Mt],,,
ITAL_WHOL,PR_PULP,NOF,[Mt],0.538,0.2,0.108
ITAL_WHOL,PR_SINT,NOF,[Mt],4.725,0.532,2.514
ITAL_WHOL,TRA_OT_AGR,GSL,[PJ],0.63,0.3,0.189
ITAL_WHOL,TRA_OT_CNS,GSL,[PJ],,,
ITAL_WHOL,TRA_OT_CNS,MD,[PJ],12.146,0.56,6.796
ITAL_WHOL,TRA_OT_LB,GAS,[PJ],19.979,0.086,1.71
ITAL_WHOL,TRA_OT_LD2,GSL,[PJ],0.262,0.028,0.007
ITAL_WHOL,TRA_RD_HDB,H2,[PJ],0,0.007,0
ITAL_WHOL,TRA_RD_HDT,H2,[PJ],0,0.007,0
ITAL_WHOL,TRA_RD_LD4C,H2,[PJ],0.002,0.007,0
ITAL_WHOL,TRA_RD_LD4C,LPG,[PJ],77.779,0.045,3.49
ITAL_WHOL,TRA_RD_LD4T,H2,[PJ],0,0.007,0
ITAL_WHOL,CON_COMB,BC1,[PJ],,,
ITAL_WHOL,CON_COMB,OS1,[PJ],,,
ITAL_WHOL,IN_BO_CHEM,BC1,[PJ],,,
ITAL_WHOL,IN_BO_CHEM,GSL,[PJ],,,
ITAL_WHOL,IN_BO_CHEM,MD,[PJ],,,
ITAL_WHOL,IN_BO_CON,BC1,[PJ],,,
ITAL_WHOL,IN_BO_CON,OS1,[PJ],,,
ITAL_WHOL,IN_BO_OTH,DC,[PJ],,,
ITAL_WHOL,IN_BO_OTH,GSL,[PJ],,,
ITAL_WHOL,IN_BO_OTH_L,BC1,[PJ],,,
ITAL_WHOL,IN_BO_OTH_L,HC1,[PJ],0.003,0.218,0.001
ITAL_WHOL,IN_BO_OTH_S,BC1,[PJ],,,
ITAL_WHOL,IN_BO_OTH_S,HC1,[PJ],,,
ITAL_WHOL,IN_BO_PAP,BC1,[PJ],,,
ITAL_WHOL,IN_BO_PAP,GSL,[PJ],,,
ITAL_WHOL,IN_BO_PAP,MD,[PJ],,,
ITAL_WHOL,IN_OC,GSL,[PJ],,,
ITAL_WHOL,PP_EX_L,BC1,[PJ],,,
