Calculation details: NOX  emissions by source category,,,,,,
,,,,,,
Pollutant: NOX,,,,,,
Scenario: REF_post2014_CLE,,,,,,
Year: 2010,,,,,,
,,,,,,
Region,Sector,Activity,[Unit],activity,impl_ef,emiss
ITAL_WHOL,CON_COMB,HF,[PJ],73.456,0.07,5.171
ITAL_WHOL,CON_COMB,LPG,[PJ],106.11,0.054,5.756
ITAL_WHOL,CON_COMB,MD,[PJ],,,
ITAL_WHOL,DOM,BC1,[PJ],,,
ITAL_WHOL,DOM,LPG,[PJ],84.871,0.05,4.252
ITAL_WHOL,DOM,MD,[PJ],97.525,0.049,4.818
ITAL_WHOL,DOM,OS1,[PJ],313.235,0.107,33.516
ITAL_WHOL,IN_BO_CHEM,HF,[PJ],,,
ITAL_WHOL,IN_BO_CON,HF,[PJ],4.288,0.064,0.274
ITAL_WHOL,IN_BO_CON,LPG,[PJ],6.195,0.06,0.369
ITAL_WHOL,IN_BO_CON,MD,[PJ],0.847,0.068,0.058
ITAL_WHOL,IN_BO_OTH,HF,[PJ],0.518,0.064,0.033
ITAL_WHOL,IN_BO_OTH,LPG,[PJ],0.282,0.059,0.017
ITAL_WHOL,IN_BO_OTH,OS1,[PJ],0.007,0.13,0.001
ITAL_WHOL,IN_OC,GAS,[PJ],224.262,0.042,9.419
ITAL_WHOL,IN_OC,HF,[PJ],9.872,0.07,0.695
ITAL_WHOL,IN_OC,LPG,[PJ],6.76,0.06,0.402
ITAL_WHOL,MSW_FOOD,NOF,[Mt waste],7.113,0.017,0.121
ITAL_WHOL,MSW_OTH,NOF,[Mt waste],9.711,0.05,0.481
ITAL_WHOL,MSW_PAP,NOF,[Mt waste],7.762,0.019,0.151
ITAL_WHOL,MSW_PLA,NOF,[Mt waste],3.833,0,0
ITAL_WHOL,MSW_TEX,NOF,[Mt waste],0.974,0.044,0.042
ITAL_WHOL,MSW_WOOD,NOF,[Mt waste],0.26,0.045,0.012
ITAL_WHOL,OTHER_NOX,NOF,[kt NOx],,,
ITAL_WHOL,PP_ENG,MD,[PJ],7.27,0.51,3.711
ITAL_WHOL,PP_EX_OTH,HF,[PJ],309.567,0.061,18.729
ITAL_WHOL,PP_MOD,GAS,[PJ],1177.039,0.03,35.311
ITAL_WHOL,PROD_AGAS,CRU,[PJ],215.436,0,0.092
ITAL_WHOL,PR_CEM,NOF,[Mt],34.405,1.504,51.744
ITAL_WHOL,PR_GLASS,NOF,[Mt],7.217,3.313,23.908
ITAL_WHOL,PR_LIME,NOF,[Mt],1.896,0.47,0.891
ITAL_WHOL,PR_REF,NOF,[Mt],89.59,0.064,5.734
ITAL_WHOL,TRA_OT,HC1,[PJ],,,
ITAL_WHOL,TRA_OT_AGR,MD,[PJ],83.947,0.602,50.507
ITAL_WHOL,TRA_OT_AIR,GSL,[PJ],161.724,0.022,3.565
ITAL_WHOL,TRA_OT_CNS,GAS,[PJ],,,
ITAL_WHOL,TRA_OT_INW,GSL,[PJ],7.745,0.158,1.223
ITAL_WHOL,TRA_OT_INW,MD,[PJ],,,
ITAL_WHOL,TRA_OT_RAI,MD,[PJ],2.684,1.174,3.152
ITAL_WHOL,TRA_RD_HDB,GAS,[PJ],1.868,0.129,0.242
ITAL_WHOL,TRA_RD_HDB,LPG,[PJ],0.091,0.193,0.018
ITAL_WHOL,TRA_RD_HDB,MD,[PJ],37.799,0.704,26.6
ITAL_WHOL,TRA_RD_HDT,GAS,[PJ],,,
ITAL_WHOL,TRA_RD_HDT,MD,[PJ],250.185,0.666,166.508
ITAL_WHOL,TRA_RD_LD2,GSL,[PJ],13.929,0.138,1.924
ITAL_WHOL,TRA_RD_LD4C,GAS,[PJ],25.073,0.074,1.868
ITAL_WHOL,TRA_RD_LD4C,GSL,[PJ],363.464,0.079,28.846
ITAL_WHOL,TRA_RD_LD4C,MD,[PJ],465.561,0.296,138.035
ITAL_WHOL,TRA_RD_LD4T,GAS,[PJ],2.171,0.146,0.317
ITAL_WHOL,TRA_RD_LD4T,GSL,[PJ],12.572,0.187,2.348
ITAL_WHOL,TRA_RD_LD4T,MD,[PJ],230.813,0.33,76.24
ITAL_WHOL,TRA_RD_M4,GSL,[PJ],31.693,0.176,5.583
ITAL_WHOL,WASTE_AGR,NOF,[Mt],0.21,3,0.63
ITAL_WHOL,WASTE_FLR,NOF,[PJ],0.94,0.03,0.028
ITAL_WHOL,CON_COMB,GAS,[PJ],20.881,0.038,0.802
ITAL_WHOL,CON_COMB,HC1,[PJ],1.587,0.057,0.091
ITAL_WHOL,DOM,DC,[PJ],,,
ITAL_WHOL,DOM,GAS,[PJ],1149.427,0.054,61.828
ITAL_WHOL,DOM,GSL,[PJ],6.33,0.059,0.375
ITAL_WHOL,DOM,HC1,[PJ],0.159,0.08,0.013
ITAL_WHOL,DOM,HF,[PJ],1.599,0.15,0.24
ITAL_WHOL,IN_BO_CHEM,GAS,[PJ],11.141,0.046,0.507
ITAL_WHOL,IN_BO_CHEM,LPG,[PJ],,,
ITAL_WHOL,IN_BO_CHEM,OS1,[PJ],0.025,0.13,0.003
ITAL_WHOL,IN_BO_CHEM,OS2,[PJ],,,
ITAL_WHOL,IN_BO_CON,GAS,[PJ],6.492,0.046,0.295
ITAL_WHOL,IN_BO_OTH,GAS,[PJ],33.668,0.046,1.532
ITAL_WHOL,IN_BO_OTH,OS2,[PJ],0.029,0.075,0.002
ITAL_WHOL,IN_BO_PAP,GAS,[PJ],5.85,0.046,0.266
ITAL_WHOL,IN_BO_PAP,LPG,[PJ],,,
ITAL_WHOL,IN_BO_PAP,OS1,[PJ],,,
ITAL_WHOL,IN_BO_PAP,OS2,[PJ],,,
ITAL_WHOL,IN_OC,DC,[PJ],79.919,0.02,1.598
ITAL_WHOL,IN_OC,HC1,[PJ],38.997,0.052,2.028
ITAL_WHOL,IN_OC,MD,[PJ],,,
ITAL_WHOL,IN_OC,OS1,[PJ],3.92,0.13,0.51
ITAL_WHOL,IN_OC,OS2,[PJ],3.488,0.075,0.263
ITAL_WHOL,PP_ENG,GAS,[PJ],23.367,0.13,3.038
ITAL_WHOL,PP_ENG,HF,[PJ],,,
ITAL_WHOL,PP_EX_L,HC1,[PJ],397.082,0.066,26.207
ITAL_WHOL,PP_EX_OTH,GAS,[PJ],50.722,0.04,2.029
ITAL_WHOL,PP_EX_OTH,MD,[PJ],,,
ITAL_WHOL,PP_EX_OTH,OS1,[PJ],29.55,0.13,3.842
ITAL_WHOL,PP_EX_OTH,OS2,[PJ],3.869,0.065,0.252
ITAL_WHOL,PP_EX_S,HC1,[PJ],,,
ITAL_WHOL,PP_NEW,GAS,[PJ],73.876,0.06,4.433
