Calculation details: PM PM_10 emissions by source category,,,,,,
,,,,,,
Pollutant: PM (PM Fraction: PM_10),,,,,,
Scenario: REF_post2014_CLE,,,,,,
Year: 2010,,,,,,
,,,,,,
Region,Sector,Activity,[Unit],activity,impl_ef,emiss
ITAL_WHOL,AGR_ARABLE,NOF,[M ha],8.5,0.845,7.182
ITAL_WHOL,AGR_BEEF,NOF,[M animals],4.086,0.416,1.699
ITAL_WHOL,AGR_COWS,NOF,[M animals],1.746,0.391,0.682
ITAL_WHOL,AGR_PIG,NOF,[M animals],9.321,0.438,4.079
ITAL_WHOL,AGR_POULT,NOF,[M animals],189.362,0.047,8.958
ITAL_WHOL,CONSTRUCT,NOF,[M m2],48.087,0.087,4.184
ITAL_WHOL,CON_COMB,HF,[PJ],73.456,0.002,0.178
ITAL_WHOL,CON_COMB,LPG,[PJ],106.11,0,0.021
ITAL_WHOL,CON_COMB,MD,[PJ],,,
ITAL_WHOL,DOM,LPG,[PJ],84.871,0,0.025
ITAL_WHOL,DOM,MD,[PJ],97.525,0.001,0.062
ITAL_WHOL,DOM_MB_A,BC1,[PJ],,,
ITAL_WHOL,DOM_MB_A,FWD,[PJ],0.913,0.079,0.072
ITAL_WHOL,DOM_MB_M,BC1,[PJ],,,
ITAL_WHOL,DOM_MB_M,FWD,[PJ],,,
ITAL_WHOL,DOM_SHB_A,FWD,[PJ],0.007,0.024,0
ITAL_WHOL,DOM_SHB_M,FWD,[PJ],0.047,0.36,0.017
ITAL_WHOL,DOM_STOVE_H,FWD,[PJ],99.449,0.389,38.664
ITAL_WHOL,IN_BO_CHEM,HF,[PJ],,,
ITAL_WHOL,IN_BO_CON,HF,[PJ],4.288,0.015,0.063
ITAL_WHOL,IN_BO_CON,LPG,[PJ],6.195,0,0.001
ITAL_WHOL,IN_BO_CON,MD,[PJ],0.847,0.001,0.001
ITAL_WHOL,IN_BO_OTH,HF,[PJ],0.518,0.015,0.008
ITAL_WHOL,IN_BO_OTH,LPG,[PJ],0.282,0,0
ITAL_WHOL,IN_BO_OTH,OS1,[PJ],0.007,0.009,0
ITAL_WHOL,IN_OC,GAS,[PJ],224.262,0,0.022
ITAL_WHOL,IN_OC,HF,[PJ],9.872,0.015,0.145
ITAL_WHOL,IN_OC,LPG,[PJ],6.76,0,0.001
ITAL_WHOL,MINE_BC,NOF,[Mt],,,
ITAL_WHOL,MINE_OTH,NOF,[Mt],0.03,0.028,0.001
ITAL_WHOL,MSW_FOOD,NOF,[Mt waste],7.113,0.026,0.182
ITAL_WHOL,MSW_OTH,NOF,[Mt waste],9.711,0.079,0.765
ITAL_WHOL,MSW_PAP,NOF,[Mt waste],7.762,0.031,0.24
ITAL_WHOL,MSW_PLA,NOF,[Mt waste],3.833,0,0
ITAL_WHOL,MSW_TEX,NOF,[Mt waste],0.974,0.07,0.068
ITAL_WHOL,MSW_WOOD,NOF,[Mt waste],0.26,0.072,0.019
ITAL_WHOL,PP_ENG,MD,[PJ],7.27,0.011,0.077
ITAL_WHOL,PP_EX_OTH,HF,[PJ],309.567,0.001,0.355
ITAL_WHOL,PP_MOD,GAS,[PJ],1177.039,0,0.118
ITAL_WHOL,PROD_AGAS,CRU,[PJ],215.436,0,0.098
ITAL_WHOL,PR_CEM,NOF,[Mt],34.405,0.141,4.852
ITAL_WHOL,PR_EARC,NOF,[Mt],17.195,0.129,2.211
ITAL_WHOL,PR_GLASS,NOF,[Mt],7.217,0.443,3.2
ITAL_WHOL,PR_LIME,NOF,[Mt],1.896,0.073,0.138
ITAL_WHOL,PR_OT_NFME,NOF,[Mt],0.307,0.535,0.164
ITAL_WHOL,PR_REF,NOF,[Mt],89.59,0.005,0.441
ITAL_WHOL,PR_SMIND_F,NOF,[M people],59.19,0.016,0.929
ITAL_WHOL,RES_BBQ,NOF,[M people],59.19,0.075,4.439
ITAL_WHOL,RES_CIGAR,NOF,[M people],59.19,0.017,0.977
ITAL_WHOL,RES_FIREW,NOF,[M people],59.19,0.035,2.072
ITAL_WHOL,STH_AGR,NOF,[Mt],52.71,0.02,1.075
ITAL_WHOL,STH_COAL,NOF,[Mt],14.635,0.032,0.462
ITAL_WHOL,STH_FEORE,NOF,[Mt],34.159,0.076,2.596
ITAL_WHOL,STH_NPK,NOF,[Mt],12.94,0.026,0.336
ITAL_WHOL,STH_OTH_IN,NOF,[Mt],108.182,0.012,1.309
ITAL_WHOL,TRA_OT,HC1,[PJ],,,
ITAL_WHOL,TRA_OT_AGR,MD,[PJ],83.947,0.043,3.631
ITAL_WHOL,TRA_OT_AIR,GSL,[PJ],161.724,0,0.063
ITAL_WHOL,TRA_OT_CNS,GAS,[PJ],,,
ITAL_WHOL,TRA_OT_INW,GSL,[PJ],7.745,0.025,0.197
