Calculation details: NOX  emissions by source category,,,,,,
,,,,,,
Pollutant: NOX,,,,,,
Scenario: REF_post2014_CLE,,,,,,
Year: 2005,,,,,,
,,,,,,
Region,Sector,Activity,[Unit],activity,impl_ef,emiss
ITAL_WHOL,CON_COMB,GAS,[PJ],8.315,0.084,0.698
ITAL_WHOL,CON_COMB,HF,[PJ],71.604,0.07,5.041
ITAL_WHOL,CON_COMB,LPG,[PJ],94.689,0.067,6.297
ITAL_WHOL,CON_COMB,MD,[PJ],3.629,0.08,0.29
ITAL_WHOL,DOM,BC1,[PJ],,,
ITAL_WHOL,DOM,LPG,[PJ],95.865,0.05,4.803
ITAL_WHOL,DOM,MD,[PJ],174.63,0.049,8.627
ITAL_WHOL,DOM,OS1,[PJ],171.873,0.107,18.39
ITAL_WHOL,IN_BO_CHEM,HF,[PJ],0.039,0.064,0.002
ITAL_WHOL,IN_BO_CON,HF,[PJ],13.982,0.064,0.895
ITAL_WHOL,IN_BO_CON,LPG,[PJ],18.49,0.059,1.1
ITAL_WHOL,IN_BO_CON,MD,[PJ],7.087,0.068,0.482
ITAL_WHOL,IN_BO_OTH,HF,[PJ],8.01,0.064,0.513
ITAL_WHOL,IN_BO_OTH,MD,[PJ],,,
ITAL_WHOL,IN_BO_OTH_L,BC1,[PJ],,,
ITAL_WHOL,IN_BO_OTH_S,BC1,[PJ],,,
ITAL_WHOL,IN_BO_PAP,BC1,[PJ],,,
ITAL_WHOL,IN_OC,BC1,[PJ],,,
ITAL_WHOL,IN_OC,HF,[PJ],47.981,0.07,3.378
ITAL_WHOL,IN_OC,MD,[PJ],,,
ITAL_WHOL,MSW_FOOD,NOF,[Mt waste],7.088,0.044,0.31
ITAL_WHOL,MSW_OTH,NOF,[Mt waste],9.493,0.078,0.74
ITAL_WHOL,MSW_PAP,NOF,[Mt waste],7.588,0.095,0.721
ITAL_WHOL,MSW_PLA,NOF,[Mt waste],3.747,0.017,0.064
ITAL_WHOL,MSW_TEX,NOF,[Mt waste],0.953,0.055,0.053
ITAL_WHOL,MSW_WOOD,NOF,[Mt waste],0.254,0.045,0.011
ITAL_WHOL,OTHER_NOX,NOF,[kt NOx],,,
ITAL_WHOL,PP_EX_OTH,HF,[PJ],516.257,0.061,31.234
ITAL_WHOL,PP_NEW,HF,[PJ],,,
ITAL_WHOL,PROD_AGAS,CRU,[PJ],257.559,0,0.11
ITAL_WHOL,PR_CEM,NOF,[Mt],40.28,1.603,64.557
ITAL_WHOL,PR_GLASS,NOF,[Mt],5.03,3.41,17.154
ITAL_WHOL,PR_LIME,NOF,[Mt],2.219,0.47,1.043
ITAL_WHOL,PR_REF,NOF,[Mt],99.861,0.064,6.391
ITAL_WHOL,TRA_OT_AGR,MD,[PJ],95.155,0.815,77.572
ITAL_WHOL,TRA_OT_AIR,GSL,[PJ],154.928,0.022,3.415
ITAL_WHOL,TRA_OT_CNS,MD,[PJ],20.142,0.893,17.984
ITAL_WHOL,TRA_OT_INW,GSL,[PJ],8.964,0.201,1.801
ITAL_WHOL,TRA_OT_INW,MD,[PJ],,,
ITAL_WHOL,TRA_OT_RAI,MD,[PJ],4.132,1.219,5.037
ITAL_WHOL,TRA_RD_HDB,MD,[PJ],40.604,0.834,33.863
ITAL_WHOL,TRA_RD_HDT,MD,[PJ],282.552,0.818,230.995
ITAL_WHOL,TRA_RD_LD2,GSL,[PJ],20.99,0.11,2.302
ITAL_WHOL,TRA_RD_LD4C,GSL,[PJ],526.82,0.163,85.662
ITAL_WHOL,TRA_RD_LD4C,MD,[PJ],433.313,0.314,136.054
ITAL_WHOL,TRA_RD_LD4T,GSL,[PJ],18.458,0.329,6.067
ITAL_WHOL,TRA_RD_LD4T,MD,[PJ],210.672,0.367,77.373
ITAL_WHOL,TRA_RD_M4,GSL,[PJ],26.293,0.185,4.853
ITAL_WHOL,WASTE_AGR,NOF,[Mt],0.21,3,0.63
ITAL_WHOL,WASTE_FLR,NOF,[PJ],1.124,0.03,0.034
ITAL_WHOL,CON_COMB,GSL,[PJ],2.342,0.07,0.164
ITAL_WHOL,CON_COMB,HC1,[PJ],10.739,0.057,0.614
ITAL_WHOL,DOM,DC,[PJ],,,
ITAL_WHOL,DOM,GAS,[PJ],1103.18,0.054,59.34
ITAL_WHOL,DOM,GSL,[PJ],8.407,0.059,0.498
ITAL_WHOL,DOM,HC1,[PJ],0.293,0.08,0.023
ITAL_WHOL,DOM,HF,[PJ],8.96,0.15,1.344
ITAL_WHOL,IN_BO_CHEM,DC,[PJ],0.026,0.14,0.004
ITAL_WHOL,IN_BO_CHEM,GAS,[PJ],26.811,0.045,1.22
ITAL_WHOL,IN_BO_CHEM,LPG,[PJ],0.166,0.06,0.01
ITAL_WHOL,IN_BO_CHEM,OS1,[PJ],,,
ITAL_WHOL,IN_BO_CHEM,OS2,[PJ],,,
ITAL_WHOL,IN_BO_CON,GAS,[PJ],0.163,0.046,0.007
ITAL_WHOL,IN_BO_CON,GSL,[PJ],0.457,0.07,0.032
ITAL_WHOL,IN_BO_OTH,DC,[PJ],0.081,0.14,0.011
ITAL_WHOL,IN_BO_OTH,GAS,[PJ],68.957,0.046,3.138
ITAL_WHOL,IN_BO_OTH,LPG,[PJ],1.24,0.06,0.074
ITAL_WHOL,IN_BO_OTH,OS1,[PJ],0.049,0.13,0.006
ITAL_WHOL,IN_BO_OTH,OS2,[PJ],0.204,0.075,0.015
ITAL_WHOL,IN_BO_PAP,GAS,[PJ],8.485,0.046,0.386
ITAL_WHOL,IN_BO_PAP,HF,[PJ],0.383,0.064,0.024
ITAL_WHOL,IN_BO_PAP,LPG,[PJ],0.068,0.06,0.004
ITAL_WHOL,IN_BO_PAP,OS1,[PJ],,,
ITAL_WHOL,IN_BO_PAP,OS2,[PJ],,,
ITAL_WHOL,IN_OC,DC,[PJ],106.64,0.02,2.133
ITAL_WHOL,IN_OC,GAS,[PJ],273.957,0.042,11.506
ITAL_WHOL,IN_OC,HC1,[PJ],44.744,0.068,3.025
ITAL_WHOL,IN_OC,LPG,[PJ],9.617,0.06,0.572
ITAL_WHOL,IN_OC,OS1,[PJ],0.386,0.13,0.05
ITAL_WHOL,IN_OC,OS2,[PJ],1.625,0.075,0.123
ITAL_WHOL,PP_ENG,GAS,[PJ],13.968,0.13,1.816
ITAL_WHOL,PP_ENG,HF,[PJ],,,
ITAL_WHOL,PP_ENG,MD,[PJ],10.219,0.858,8.768
ITAL_WHOL,PP_EX_L,BC1,[PJ],,,
ITAL_WHOL,PP_EX_L,HC1,[PJ],435.393,0.066,28.736
ITAL_WHOL,PP_EX_OTH,GAS,[PJ],343.154,0.04,13.726
ITAL_WHOL,PP_EX_OTH,MD,[PJ],0.116,0.056,0.007
ITAL_WHOL,PP_EX_OTH,OS1,[PJ],26.932,0.13,3.501
ITAL_WHOL,PP_EX_OTH,OS2,[PJ],17.281,0.065,1.123
ITAL_WHOL,PP_EX_S,BC1,[PJ],,,
ITAL_WHOL,PP_EX_S,HC1,[PJ],,,
ITAL_WHOL,PP_MOD,GAS,[PJ],899.907,0.03,26.997
ITAL_WHOL,PP_NEW,GAS,[PJ],383.584,0.06,23.015
ITAL_WHOL,PP_NEW,OS2,[PJ],17.798,0.039,0.694
ITAL_WHOL,PR_BRICK,NOF,[Mt],20.752,0.017,0.344
ITAL_WHOL,PR_NIAC,NOF,[Mt],0.572,0.93,0.532
ITAL_WHOL,PR_OT_NFME,NOF,[Mt],,,
ITAL_WHOL,PR_PIGI,NOF,[Mt],,,
ITAL_WHOL,PR_PULP,NOF,[Mt],0.698,0.2,0.14
ITAL_WHOL,PR_SINT,NOF,[Mt],10.021,0.532,5.331
ITAL_WHOL,TRA_OT_AGR,GSL,[PJ],0.81,0.3,0.243
ITAL_WHOL,TRA_OT_CNS,GSL,[PJ],,,
ITAL_WHOL,TRA_OT_LB,GAS,[PJ],16.009,0.143,2.289
ITAL_WHOL,TRA_OT_LD2,GSL,[PJ],0.308,0.028,0.009
ITAL_WHOL,TRA_RD_HDB,LPG,[PJ],,,
ITAL_WHOL,TRA_RD_HDT,GSL,[PJ],,,
ITAL_WHOL,CON_COMB,BC1,[PJ],,,
ITAL_WHOL,CON_COMB,OS1,[PJ],,,
ITAL_WHOL,IN_BO_OTH_L,HC1,[PJ],,,
ITAL_WHOL,IN_BO_OTH_S,HC1,[PJ],,,
ITAL_WHOL,IN_OC,GSL,[PJ],4.138,0.07,0.29
ITAL_WHOL,PP_EX_OTH,GSL,[PJ],33.955,0.065,2.222
ITAL_WHOL,PP_NEW,OS1,[PJ],4.626,0.065,0.301
ITAL_WHOL,PP_NEW_L,BC1,[PJ],0.003,0.044,0
ITAL_WHOL,PP_NEW_L,HC1,[PJ],,,
ITAL_WHOL,TRA_OT_CNS,LPG,[PJ],,,
ITAL_WHOL,TRA_RD_LD4C,GAS,[PJ],17.591,0.141,2.489
ITAL_WHOL,TRA_RD_LD4C,LPG,[PJ],45.569,0.205,9.327
ITAL_WHOL,IN_BO_CHEM,GSL,[PJ],0.423,0.07,0.03
ITAL_WHOL,IN_BO_OTH,GSL,[PJ],0.377,0.07,0.026
ITAL_WHOL,IN_BO_PAP,HC1,[PJ],,,
ITAL_WHOL,TRA_OTS_L,HF,[PJ],33.263,1.48,49.229
ITAL_WHOL,TRA_OTS_M,MD,[PJ],28.87,1.245,35.944
ITAL_WHOL,TRA_OT_LB,GSL,[PJ],8.799,0.257,2.258
ITAL_WHOL,TRA_RD_HDB,GAS,[PJ],0.845,0.252,0.213
ITAL_WHOL,TRA_RD_HDB,GSL,[PJ],,,
ITAL_WHOL,TRA_RD_HDB,H2,[PJ],0.001,0.007,0
ITAL_WHOL,TRA_RD_HDT,GAS,[PJ],,,
ITAL_WHOL,TRA_RD_HDT,H2,[PJ],0.014,0.007,0
ITAL_WHOL,TRA_RD_HDT,LPG,[PJ],,,
ITAL_WHOL,TRA_RD_LD4C,H2,[PJ],0.014,0.007,0
ITAL_WHOL,TRA_RD_LD4T,GAS,[PJ],1.353,0.257,0.347
ITAL_WHOL,TRA_RD_LD4T,H2,[PJ],0.003,0.007,0
ITAL_WHOL,TRA_RD_LD4T,LPG,[PJ],2.009,0.3,0.602
ITAL_WHOL,IN_BO_CHEM,HC1,[PJ],0.001,0.218,0
ITAL_WHOL,CON_COMB,DC,[PJ],,,
ITAL_WHOL,IN_BO_CON,BC1,[PJ],,,
ITAL_WHOL,IN_BO_CON,DC,[PJ],,,
ITAL_WHOL,TRA_OTS_L,MD,[PJ],13.9,1.245,17.306
ITAL_WHOL,TRA_OT_LB,MD,[PJ],7.476,1.1,8.224
ITAL_WHOL,IN_BO_CHEM,BC1,[PJ],,,
ITAL_WHOL,PP_NEW,GSL,[PJ],,,
