Calculation details: PM PM_10 emissions by source category,,,,,,
,,,,,,
Pollutant: PM (PM Fraction: PM_10),,,,,,
Scenario: REF_post2014_CLE,,,,,,
Year: 2005,,,,,,
,,,,,,
Region,Sector,Activity,[Unit],activity,impl_ef,emiss
ITAL_WHOL,TRA_RD_HDT,TYRE,[Gvkm],34.94,0.007,0.242
ITAL_WHOL,TRA_RD_LD2,ABRASION,[Gvkm],20.747,0.003,0.062
ITAL_WHOL,TRA_RD_LD2,BRAKE,[Gvkm],20.747,0.006,0.126
ITAL_WHOL,TRA_RD_LD2,GSL,[PJ],20.99,0.138,2.902
ITAL_WHOL,TRA_RD_LD2,TYRE,[Gvkm],20.747,0.001,0.014
ITAL_WHOL,TRA_RD_LD4C,ABRASION,[Gvkm],406.187,0.008,3.046
ITAL_WHOL,TRA_RD_LD4C,BRAKE,[Gvkm],406.187,0.012,4.986
ITAL_WHOL,TRA_RD_LD4C,GSL,[PJ],526.82,0.001,0.384
ITAL_WHOL,TRA_RD_LD4C,MD,[PJ],433.313,0.025,10.637
ITAL_WHOL,TRA_RD_LD4C,TYRE,[Gvkm],406.187,0.002,0.634
ITAL_WHOL,TRA_RD_LD4T,ABRASION,[Gvkm],69.412,0.008,0.521
ITAL_WHOL,TRA_RD_LD4T,BRAKE,[Gvkm],69.412,0.019,1.329
ITAL_WHOL,TRA_RD_LD4T,GSL,[PJ],18.458,0,0.009
ITAL_WHOL,TRA_RD_LD4T,MD,[PJ],210.672,0.046,9.7
ITAL_WHOL,TRA_RD_LD4T,TYRE,[Gvkm],69.412,0.002,0.171
ITAL_WHOL,TRA_RD_M4,ABRASION,[Gvkm],26.293,0.003,0.079
ITAL_WHOL,TRA_RD_M4,BRAKE,[Gvkm],26.293,0.006,0.159
ITAL_WHOL,TRA_RD_M4,GSL,[PJ],26.293,0.052,1.357
ITAL_WHOL,TRA_RD_M4,TYRE,[Gvkm],26.293,0.001,0.018
ITAL_WHOL,WASTE_AGR,NOF,[Mt],0.21,10.499,2.205
ITAL_WHOL,WASTE_FLR,NOF,[PJ],1.124,0.032,0.036
ITAL_WHOL,CON_COMB,GSL,[PJ],2.342,0.001,0.001
ITAL_WHOL,CON_COMB3,HC1,[PJ],10.739,0.018,0.195
ITAL_WHOL,DOM,GAS,[PJ],1103.18,0,0.11
ITAL_WHOL,DOM,GSL,[PJ],8.407,0.001,0.004
ITAL_WHOL,DOM,HF,[PJ],8.96,0.017,0.155
ITAL_WHOL,DOM_FPLACE,FWD,[PJ],108.81,0.412,44.814
ITAL_WHOL,DOM_MB_M,DC,[PJ],,,
ITAL_WHOL,DOM_MB_M,HC1,[PJ],,,
ITAL_WHOL,DOM_SHB_A,FWD,[PJ],,,
ITAL_WHOL,DOM_SHB_M,BC1,[PJ],,,
ITAL_WHOL,DOM_SHB_M,DC,[PJ],,,
ITAL_WHOL,DOM_SHB_M,HC1,[PJ],0.147,0.25,0.037
ITAL_WHOL,DOM_STOVE_H,BC1,[PJ],,,
ITAL_WHOL,DOM_STOVE_H,DC,[PJ],,,
ITAL_WHOL,DOM_STOVE_H,HC1,[PJ],0.147,0.403,0.059
ITAL_WHOL,IN_BO_CHEM,DC,[PJ],0.026,0.005,0
ITAL_WHOL,IN_BO_CHEM,GAS,[PJ],26.811,0,0.003
ITAL_WHOL,IN_BO_CHEM,LPG,[PJ],0.166,0,0
ITAL_WHOL,IN_BO_CHEM,OS1,[PJ],,,
ITAL_WHOL,IN_BO_CHEM,OS2,[PJ],,,
ITAL_WHOL,IN_BO_CON,GAS,[PJ],0.163,0,0
ITAL_WHOL,IN_BO_CON,GSL,[PJ],0.457,0.001,0
ITAL_WHOL,IN_BO_OTH,DC,[PJ],0.081,0.005,0
ITAL_WHOL,IN_BO_OTH,GAS,[PJ],68.957,0,0.007
ITAL_WHOL,IN_BO_OTH,LPG,[PJ],1.24,0,0
ITAL_WHOL,IN_BO_OTH,OS1,[PJ],0.049,0.009,0
ITAL_WHOL,IN_BO_OTH,OS2,[PJ],0.204,0.005,0.001
ITAL_WHOL,IN_BO_PAP,GAS,[PJ],8.485,0,0.001
ITAL_WHOL,IN_BO_PAP,HF,[PJ],0.383,0.015,0.006
ITAL_WHOL,IN_BO_PAP,LPG,[PJ],0.068,0,0
ITAL_WHOL,IN_BO_PAP,OS1,[PJ],,,
ITAL_WHOL,IN_BO_PAP,OS2,[PJ],,,
ITAL_WHOL,IN_OC,DC,[PJ],106.64,0.001,0.098
ITAL_WHOL,IN_OC,GAS,[PJ],273.957,0,0.027
ITAL_WHOL,IN_OC,LPG,[PJ],9.617,0,0.002
ITAL_WHOL,IN_OC,OS1,[PJ],0.386,0.009,0.003
ITAL_WHOL,IN_OC,OS2,[PJ],1.625,0.054,0.088
ITAL_WHOL,IN_OC3,HC1,[PJ],44.744,0.009,0.387
ITAL_WHOL,PP_ENG,GAS,[PJ],13.968,0.005,0.068
ITAL_WHOL,PP_ENG,HF,[PJ],,,
ITAL_WHOL,PP_ENG,MD,[PJ],10.219,0.068,0.693
ITAL_WHOL,PP_EX_L,BC1,[PJ],,,
ITAL_WHOL,PP_EX_L,HC1,[PJ],435.393,0.001,0.465
ITAL_WHOL,PP_EX_OTH,GAS,[PJ],343.154,0,0.103
ITAL_WHOL,PP_EX_OTH,MD,[PJ],0.116,0.001,0
ITAL_WHOL,PP_EX_OTH,OS1,[PJ],26.932,0.008,0.207
ITAL_WHOL,PP_EX_OTH,OS2,[PJ],17.281,0.003,0.059
ITAL_WHOL,PP_EX_S,BC1,[PJ],,,
ITAL_WHOL,PP_EX_S,HC1,[PJ],,,
ITAL_WHOL,PP_MOD,GAS,[PJ],899.907,0,0.09
ITAL_WHOL,PP_NEW,GAS,[PJ],383.584,0,0.115
ITAL_WHOL,PP_NEW,OS2,[PJ],17.798,0,0.003
ITAL_WHOL,PR_ALSEC,NOF,[Mt],0.654,0.33,0.216
ITAL_WHOL,PR_BAOX,NOF,[Mt],11.423,0.119,1.362
ITAL_WHOL,PR_BRICK,NOF,[Mt],20.752,0.057,1.181
ITAL_WHOL,PR_CAST,NOF,[Mt],1.368,5.956,8.147
ITAL_WHOL,PR_CAST_F,NOF,[Mt],1.368,1.352,1.85
ITAL_WHOL,PR_COKE,NOF,[Mt],4.448,0.118,0.523
ITAL_WHOL,PR_FERT,NOF,[Mt],2.479,0.192,0.476
ITAL_WHOL,PR_OTHER,NOF,[Mt],3.193,0.183,0.585
ITAL_WHOL,PR_PIGI,NOF,[Mt],10.812,0.041,0.448
ITAL_WHOL,PR_PIGI_F,NOF,[Mt],10.812,0.06,0.649
ITAL_WHOL,PR_PULP,NOF,[Mt],0.698,0.008,0.006
ITAL_WHOL,PR_SINT,NOF,[Mt],10.021,0.136,1.361
ITAL_WHOL,PR_SINT_F,NOF,[Mt],10.021,0.048,0.481
ITAL_WHOL,TRA_OT_AGR,GSL,[PJ],0.81,0.03,0.025
ITAL_WHOL,TRA_OT_CNS,GSL,[PJ],,,
ITAL_WHOL,TRA_OT_LB,GAS,[PJ],16.009,0.017,0.268
ITAL_WHOL,TRA_OT_LD2,GSL,[PJ],0.308,0.36,0.111
