Calculation details: PM PM_2_5 emissions by source category,,,,,,
,,,,,,
Pollutant: PM (PM Fraction: PM_2_5),,,,,,
Scenario: REF_post2014_CLE,,,,,,
Year: 2005,,,,,,
,,,,,,
Region,Sector,Activity,[Unit],activity,impl_ef,emiss
ITAL_WHOL,AGR_ARABLE,NOF,[M ha],8.5,0.188,1.596
ITAL_WHOL,AGR_BEEF,NOF,[M animals],4.618,0.092,0.427
ITAL_WHOL,AGR_COWS,NOF,[M animals],1.842,0.087,0.16
ITAL_WHOL,AGR_PIG,NOF,[M animals],9.2,0.078,0.716
ITAL_WHOL,AGR_POULT,NOF,[M animals],188.595,0.011,1.983
ITAL_WHOL,CONSTRUCT,NOF,[M m2],54.114,0.009,0.487
ITAL_WHOL,CON_COMB,GAS,[PJ],8.315,0,0.001
ITAL_WHOL,CON_COMB,HF,[PJ],71.604,0.005,0.373
ITAL_WHOL,CON_COMB,LPG,[PJ],94.689,0,0.019
ITAL_WHOL,CON_COMB,MD,[PJ],3.629,0,0.001
ITAL_WHOL,DOM,LPG,[PJ],95.865,0,0.029
ITAL_WHOL,DOM,MD,[PJ],174.63,0.001,0.091
ITAL_WHOL,DOM_MB_A,BC1,[PJ],,,
ITAL_WHOL,DOM_MB_A,FWD,[PJ],0.242,0.069,0.017
ITAL_WHOL,DOM_MB_M,BC1,[PJ],,,
ITAL_WHOL,DOM_MB_M,FWD,[PJ],0.081,0.077,0.006
ITAL_WHOL,DOM_SHB_M,FWD,[PJ],0.02,0.379,0.008
ITAL_WHOL,DOM_STOVE_H,FWD,[PJ],58.595,0.416,24.398
ITAL_WHOL,IN_BO_CHEM,HF,[PJ],0.039,0.01,0
ITAL_WHOL,IN_BO_CON,HF,[PJ],13.982,0.01,0.145
ITAL_WHOL,IN_BO_CON,LPG,[PJ],18.49,0,0.004
ITAL_WHOL,IN_BO_CON,MD,[PJ],7.087,0,0.001
ITAL_WHOL,IN_BO_OTH,HF,[PJ],8.01,0.01,0.083
ITAL_WHOL,IN_BO_OTH,MD,[PJ],,,
ITAL_WHOL,IN_BO_OTH_L,BC1,[PJ],,,
ITAL_WHOL,IN_BO_OTH_S,BC1,[PJ],,,
ITAL_WHOL,IN_BO_PAP,BC1,[PJ],,,
ITAL_WHOL,IN_OC,HF,[PJ],47.981,0.01,0.498
ITAL_WHOL,IN_OC,MD,[PJ],,,
ITAL_WHOL,IN_OC3,BC1,[PJ],,,
ITAL_WHOL,LEAD_GASOL,LFL,[PJ],,,
ITAL_WHOL,MINE_BC,NOF,[Mt],,,
ITAL_WHOL,MINE_OTH,NOF,[Mt],0.03,0.004,0
ITAL_WHOL,MSW_FOOD,NOF,[Mt waste],7.088,0.066,0.47
ITAL_WHOL,MSW_OTH,NOF,[Mt waste],9.493,0.118,1.125
ITAL_WHOL,MSW_PAP,NOF,[Mt waste],7.588,0.145,1.098
ITAL_WHOL,MSW_PLA,NOF,[Mt waste],3.747,0.026,0.098
ITAL_WHOL,MSW_TEX,NOF,[Mt waste],0.953,0.084,0.08
ITAL_WHOL,MSW_WOOD,NOF,[Mt waste],0.254,0.068,0.017
ITAL_WHOL,PP_EX_OTH,HF,[PJ],516.257,0.001,0.424
ITAL_WHOL,PP_NEW,HF,[PJ],,,
ITAL_WHOL,PROD_AGAS,CRU,[PJ],257.559,0,0.117
ITAL_WHOL,PR_CEM,NOF,[Mt],40.28,0.108,4.357
ITAL_WHOL,PR_EARC,NOF,[Mt],17.927,0.113,2.023
ITAL_WHOL,PR_GLASS,NOF,[Mt],5.03,0.441,2.217
ITAL_WHOL,PR_LIME,NOF,[Mt],2.219,0.033,0.073
ITAL_WHOL,PR_OT_NFME,NOF,[Mt],0.437,0.488,0.213
ITAL_WHOL,PR_REF,NOF,[Mt],99.861,0.006,0.591
ITAL_WHOL,PR_SMIND_F,NOF,[M people],57.875,0.007,0.394
ITAL_WHOL,RES_BBQ,NOF,[M people],57.875,0.075,4.341
ITAL_WHOL,RES_CIGAR,NOF,[M people],57.875,0.017,0.955
ITAL_WHOL,RES_FIREW,NOF,[M people],57.875,0.035,2.026
ITAL_WHOL,STH_AGR,NOF,[Mt],52.71,0.004,0.19
ITAL_WHOL,STH_COAL,NOF,[Mt],12.624,0.004,0.044
ITAL_WHOL,STH_FEORE,NOF,[Mt],45.611,0.007,0.328
ITAL_WHOL,STH_NPK,NOF,[Mt],12.94,0.004,0.047
ITAL_WHOL,STH_OTH_IN,NOF,[Mt],100.917,0.001,0.091
ITAL_WHOL,TRA_OT_AGR,MD,[PJ],95.155,0.073,6.953
ITAL_WHOL,TRA_OT_AIR,GSL,[PJ],154.928,0,0.055
ITAL_WHOL,TRA_OT_CNS,MD,[PJ],20.142,0.057,1.154
ITAL_WHOL,TRA_OT_INW,GSL,[PJ],8.964,0.026,0.233
ITAL_WHOL,TRA_OT_INW,MD,[PJ],,,
ITAL_WHOL,TRA_OT_RAI,MD,[PJ],4.132,0.09,0.371
ITAL_WHOL,TRA_RD_HDB,ABRASION,[Gvkm],4.488,0.021,0.092
ITAL_WHOL,TRA_RD_HDB,BRAKE,[Gvkm],4.488,0.018,0.081
ITAL_WHOL,TRA_RD_HDB,MD,[PJ],40.604,0.027,1.091
ITAL_WHOL,TRA_RD_HDB,TYRE,[Gvkm],4.488,0,0.001
ITAL_WHOL,TRA_RD_HDT,ABRASION,[Gvkm],34.94,0.021,0.717
ITAL_WHOL,TRA_RD_HDT,BRAKE,[Gvkm],34.94,0.021,0.736
ITAL_WHOL,TRA_RD_HDT,MD,[PJ],282.552,0.025,7.144
ITAL_WHOL,TRA_RD_HDT,TYRE,[Gvkm],34.94,0.001,0.023
ITAL_WHOL,TRA_RD_LD2,ABRASION,[Gvkm],20.747,0.002,0.034
ITAL_WHOL,TRA_RD_LD2,BRAKE,[Gvkm],20.747,0.002,0.05
ITAL_WHOL,TRA_RD_LD2,GSL,[PJ],20.99,0.138,2.902
ITAL_WHOL,TRA_RD_LD2,TYRE,[Gvkm],20.747,0,0.001
ITAL_WHOL,TRA_RD_LD4C,ABRASION,[Gvkm],406.187,0.004,1.645
ITAL_WHOL,TRA_RD_LD4C,BRAKE,[Gvkm],406.187,0.005,1.984
ITAL_WHOL,TRA_RD_LD4C,GSL,[PJ],526.82,0.001,0.384
ITAL_WHOL,TRA_RD_LD4C,MD,[PJ],433.313,0.025,10.637
ITAL_WHOL,TRA_RD_LD4C,TYRE,[Gvkm],406.187,0,0.06
ITAL_WHOL,TRA_RD_LD4T,ABRASION,[Gvkm],69.412,0.004,0.281
ITAL_WHOL,TRA_RD_LD4T,BRAKE,[Gvkm],69.412,0.008,0.529
ITAL_WHOL,TRA_RD_LD4T,GSL,[PJ],18.458,0,0.009
ITAL_WHOL,TRA_RD_LD4T,MD,[PJ],210.672,0.046,9.7
ITAL_WHOL,TRA_RD_LD4T,TYRE,[Gvkm],69.412,0,0.016
ITAL_WHOL,TRA_RD_M4,ABRASION,[Gvkm],26.293,0.002,0.043
ITAL_WHOL,TRA_RD_M4,BRAKE,[Gvkm],26.293,0.002,0.063
ITAL_WHOL,TRA_RD_M4,GSL,[PJ],26.293,0.052,1.357
ITAL_WHOL,TRA_RD_M4,TYRE,[Gvkm],26.293,0,0.002
ITAL_WHOL,WASTE_AGR,NOF,[Mt],0.21,9.264,1.945
ITAL_WHOL,WASTE_FLR,NOF,[PJ],1.124,0.032,0.036
ITAL_WHOL,CON_COMB,GSL,[PJ],2.342,0.001,0.001
ITAL_WHOL,CON_COMB3,HC1,[PJ],10.739,0.009,0.093
ITAL_WHOL,DOM,GAS,[PJ],1103.18,0,0.11
ITAL_WHOL,DOM,GSL,[PJ],8.407,0.001,0.004
ITAL_WHOL,DOM,HF,[PJ],8.96,0.007,0.06
ITAL_WHOL,DOM_FPLACE,FWD,[PJ],108.81,0.399,43.413
ITAL_WHOL,DOM_MB_M,DC,[PJ],,,
ITAL_WHOL,DOM_MB_M,HC1,[PJ],,,
ITAL_WHOL,DOM_SHB_A,FWD,[PJ],,,
ITAL_WHOL,DOM_SHB_M,BC1,[PJ],,,
ITAL_WHOL,DOM_SHB_M,DC,[PJ],,,
ITAL_WHOL,DOM_SHB_M,HC1,[PJ],0.147,0.236,0.035
ITAL_WHOL,DOM_STOVE_H,BC1,[PJ],,,
ITAL_WHOL,DOM_STOVE_H,DC,[PJ],,,
ITAL_WHOL,DOM_STOVE_H,HC1,[PJ],0.147,0.398,0.058
ITAL_WHOL,IN_BO_CHEM,DC,[PJ],0.026,0.004,0
ITAL_WHOL,IN_BO_CHEM,GAS,[PJ],26.811,0,0.003
ITAL_WHOL,IN_BO_CHEM,LPG,[PJ],0.166,0,0
ITAL_WHOL,IN_BO_CHEM,OS1,[PJ],,,
ITAL_WHOL,IN_BO_CHEM,OS2,[PJ],,,
ITAL_WHOL,IN_BO_CON,GAS,[PJ],0.163,0,0
ITAL_WHOL,IN_BO_CON,GSL,[PJ],0.457,0.001,0
ITAL_WHOL,IN_BO_OTH,DC,[PJ],0.081,0.004,0
ITAL_WHOL,IN_BO_OTH,GAS,[PJ],68.957,0,0.007
ITAL_WHOL,IN_BO_OTH,LPG,[PJ],1.24,0,0
ITAL_WHOL,IN_BO_OTH,OS1,[PJ],0.049,0.009,0
ITAL_WHOL,IN_BO_OTH,OS2,[PJ],0.204,0.004,0.001
ITAL_WHOL,IN_BO_PAP,GAS,[PJ],8.485,0,0.001
ITAL_WHOL,IN_BO_PAP,HF,[PJ],0.383,0.01,0.004
ITAL_WHOL,IN_BO_PAP,LPG,[PJ],0.068,0,0
ITAL_WHOL,IN_BO_PAP,OS1,[PJ],,,
ITAL_WHOL,IN_BO_PAP,OS2,[PJ],,,
ITAL_WHOL,IN_OC,DC,[PJ],106.64,0.001,0.075
